,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
4480,Western European,Single,Single Man,Unknown,Single Family Residence,55.0,54828.0,1903.0,18.0
4481,Hispanic,Unknown,Unknown or not provided,Female,Single Family Residence,36.0,103398.0,1976.0,8.0
4482,Unknown,Unknown,Unknown or not provided,Unknown,"Multi-Family Dwellings (Generic, any combination)",54.78437322207472,372100.0,1984.0,24.0
4483,Western European,Unknown,Unknown or not provided,Male,Single Family Residence,62.0,95433.0,1954.0,23.0
4484,African American,Single,Husband and wife,Unknown,"Multi-Family Dwellings (Generic, any combination)",38.0,70822.0,1988.0,16.0
4485,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,"Multi-Family Dwellings (Generic, any combination)",54.78437322207472,1053400.0,1972.0,23.0
4486,Polynesian,Unknown,Revocable Trust,Female,Single Family Residence,54.78437322207472,285455.0,1972.0,0.0
4487,Polynesian,Unknown,Revocable Trust,Female,Single Family Residence,54.78437322207472,285455.0,1972.0,0.0
4488,Eastern European,Unknown,Unknown or not provided,Female,Single Family Residence,54.78437322207472,109863.0,1982.0,23.0
4489,Unknown,Unknown,Trust,Unknown,Condominium,54.78437322207472,167135.0,2004.0,17.0
4490,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,"Multi-Family Dwellings (Generic, any combination)",54.78437322207472,450343.0,1985.0,4.0
4491,Western European,Unknown,Unknown or not provided,Male,Single Family Residence,62.0,95433.0,1954.0,23.0
4492,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,54.78437322207472,239473.0,1954.0,24.0
4493,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,54.78437322207472,140897.0,1971.0,23.0
4494,Western European,Single,Unknown or not provided,Male,"Multi-Family Dwellings (Generic, any combination)",63.0,16631000.0,1985.0,1.0
4495,Mediterranean,Married,Unknown or not provided,Male,Condominium,44.0,5057.0,1978.6730014713094,0.0
4496,Western European,Married,Unknown or not provided,Male,"Multi-Family Dwellings (Generic, any combination)",61.0,45627400.0,1979.0,9.0
4497,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,54.78437322207472,94960.0,1962.0,16.0
4498,Eastern European,Unknown,Unknown or not provided,Female,Single Family Residence,54.78437322207472,109863.0,1982.0,23.0
4499,Western European,Married,Unknown or not provided,Male,"Multi-Family Dwellings (Generic, any combination)",61.0,45627400.0,1979.0,9.0
4500,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,"Multi-Family Dwellings (Generic, any combination)",54.78437322207472,490200.0,1955.0,23.0
4501,East Asian,Married,Unknown or not provided,Female,"Multi-Family Dwellings (Generic, any combination)",49.0,23166000.0,1986.0,5.0
4502,East Asian,Married,Unknown or not provided,Female,"Multi-Family Dwellings (Generic, any combination)",49.0,23166000.0,1986.0,5.0
4503,East Asian,Married,Unknown or not provided,Female,"Multi-Family Dwellings (Generic, any combination)",49.0,23166000.0,1986.0,5.0
4504,Western European,Married,Unknown or not provided,Female,Single Family Residence,42.0,1198787.0,1950.0,0.0
4505,Western European,Married,Husband and wife,Female,Single Family Residence,58.0,422437.0,1964.0,1.0
4506,Western European,Married,Single Woman,Female,Single Family Residence,65.0,129517.0,1954.0,7.0
4507,Western European,Unknown,Unknown or not provided,Male,Single Family Residence,62.0,95433.0,1954.0,23.0
4508,Eastern European,Unknown,Unknown or not provided,Female,Single Family Residence,54.78437322207472,109863.0,1982.0,23.0
