,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
1529,Mediterranean,Single,Unknown or not provided,Male,Cooperative,57.0,1223000.0,1939.2222222222222,23.55586592178771
1530,Western European,Unknown,Unknown or not provided,Female,Cooperative,44.0,1171000.0,1939.2222222222222,23.55586592178771
1531,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,421340.0,1985.0,23.55586592178771
1532,Unknown,Unknown,Unknown or not provided,Unknown,Cooperative,60.148464163822524,967000.0,1939.2222222222222,23.55586592178771
1533,Jewish,Unknown,Unknown or not provided,Female,Cooperative,60.148464163822524,2111000.0,1939.2222222222222,23.55586592178771
1534,Western European,Single,Unknown or not provided,Female,Condominium,96.0,357269.0,1950.0,23.55586592178771
1535,Jewish,Unknown,Unknown or not provided,Female,Cooperative,60.148464163822524,579000.0,1939.2222222222222,23.55586592178771
1536,Mediterranean,Single,Unknown or not provided,Male,Condominium,66.0,339017.0,1939.2222222222222,23.55586592178771
1537,East Asian,Single,Unknown or not provided,Female,Condominium,75.0,278487.0,1939.2222222222222,23.55586592178771
1538,Eastern European,Single,Unknown or not provided,Male,Cooperative,56.0,1069000.0,1939.2222222222222,23.55586592178771
1539,Central & Southwest Asian,Married,Unknown or not provided,Female,Condominium,66.0,411138.0,1920.0,23.55586592178771
1540,Western European,Unknown,Unknown or not provided,Male,Cooperative,60.148464163822524,2560000.0,1939.2222222222222,23.55586592178771
1541,Other,Married,Unknown or not provided,Male,Cooperative,94.0,1281000.0,1939.2222222222222,23.55586592178771
1542,Western European,Married,Life Estate,Male,Condominium,71.0,297987.0,1985.0,23.55586592178771
1543,Other,Married,Unknown or not provided,Female,Condominium,71.0,372284.0,1985.0,23.55586592178771
1544,Unknown,Unknown,Unknown or not provided,Unknown,Cooperative,60.148464163822524,1871000.0,1939.2222222222222,23.55586592178771
1545,East Asian,Single,Unknown or not provided,Female,Cooperative,60.0,1060000.0,1939.2222222222222,23.55586592178771
1546,Unknown,Unknown,Unknown or not provided,Unknown,Cooperative,60.148464163822524,1871000.0,1939.2222222222222,23.55586592178771
1547,Unknown,Unknown,Unknown or not provided,Unknown,Cooperative,60.148464163822524,687000.0,1939.2222222222222,23.55586592178771
1548,Western European,Unknown,Unknown or not provided,Female,Cooperative,60.148464163822524,1990000.0,1939.2222222222222,23.55586592178771
1549,Other,Unknown,Unknown or not provided,Male,Cooperative,60.148464163822524,628000.0,1939.2222222222222,23.55586592178771
1550,Western European,Separated,Unknown or not provided,Male,Condominium,88.0,1245843.0,1939.2222222222222,23.55586592178771
1551,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,60.148464163822524,423322.0,1984.0,23.55586592178771
1552,Western European,Single,Married,Male,Cooperative,67.0,821000.0,1939.2222222222222,23.55586592178771
1553,East Asian,Married,Unknown or not provided,Female,Cooperative,56.0,410000.0,1939.2222222222222,23.55586592178771
1554,Other,Married,Unknown or not provided,Female,Cooperative,54.0,1097000.0,1939.2222222222222,23.55586592178771
1555,Mediterranean,Single,Unknown or not provided,Female,Cooperative,81.0,836000.0,1939.2222222222222,23.55586592178771
1556,Eastern European,Unknown,Unknown or not provided,Male,Cooperative,36.0,829000.0,1939.2222222222222,23.55586592178771
1557,Other,Single,Unknown or not provided,Female,Cooperative,69.0,1818000.0,1939.2222222222222,23.55586592178771
