,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
146,Western European,Married,Husband and wife,Female,Single Family Residence,52.0,1699999,1924,1.0
147,Western European,Single,Unknown or not provided,Male,Single Family Residence,67.0,357394,1990,1.0
148,Western European,Married,Husband and wife,Female,Single Family Residence,56.0,938984,1981,10.0
149,Western European,Single,Unknown or not provided,Male,Single Family Residence,67.0,357394,1990,1.0
150,Unknown,Unknown,Trustee,Unknown,Single Family Residence,56.357894736842105,1201704,1974,23.0
151,Western European,Single,Unmarried Woman,Unknown,Single Family Residence,40.0,287336,1924,23.0
152,Western European,Single,Unknown or not provided,Male,Single Family Residence,67.0,357394,1990,1.0
153,Western European,Single,Unknown or not provided,Male,Single Family Residence,67.0,357394,1990,1.0
154,Mediterranean,Married,Unknown or not provided,Female,Single Family Residence,50.0,611667,2007,8.0
155,Western European,Married,Husband and wife,Female,Single Family Residence,56.0,938984,1981,10.0
156,Mediterranean,Married,Husband and wife,Male,Single Family Residence,52.0,1137056,1939,7.0
157,Western European,Married,Husband and wife,Female,Single Family Residence,50.0,748479,1962,1.0
158,Western European,Married,Husband and wife,Female,Single Family Residence,52.0,1699999,1924,1.0
159,Western European,Single,Unknown or not provided,Male,Single Family Residence,67.0,357394,1990,1.0
160,Western European,Married,Husband and wife,Female,Single Family Residence,50.0,748479,1962,1.0
161,Mediterranean,Married,Husband and wife,Male,Single Family Residence,52.0,1137056,1939,7.0
162,Mediterranean,Married,Husband and wife,Male,Single Family Residence,57.0,764886,1997,18.0
163,Western European,Single,Single Woman,Female,Single Family Residence,75.0,210703,1940,24.0
164,Western European,Single,Unknown or not provided,Female,Single Family Residence,76.0,633037,1960,3.0
165,Other,Unknown,Unknown or not provided,Female,Single Family Residence,26.0,167824,1986,9.0
166,Western European,Single,Husband and wife,Male,Single Family Residence,48.0,377735,1965,10.0
167,Other,Unknown,Unknown or not provided,Female,Single Family Residence,26.0,167824,1986,9.0
168,Other,Unknown,Unknown or not provided,Female,Single Family Residence,26.0,167824,1986,9.0
169,Western European,Single,Husband and wife,Male,Single Family Residence,48.0,377735,1965,10.0
170,Other,Unknown,Unknown or not provided,Female,Single Family Residence,26.0,167824,1986,9.0
171,Western European,Single,Husband and wife,Male,Single Family Residence,48.0,377735,1965,10.0
