,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
11883,East Asian,Single,Unknown or not provided,Male,Single Family Residence,48.0,388250.0,1997.0,18.0
11884,Western European,Married,Husband and wife,Female,Single Family Residence,52.0,140476.0,1983.0,25.0
11885,Western European,Unknown,Unknown or not provided,Female,Single Family Residence,60.62957154858583,176558.0,1973.0,25.0
11886,East Asian,Married,Unknown or not provided,Unknown,Condominium,42.0,44289.0,1978.0,21.938150112176217
11887,Eastern European,Unknown,Unknown or not provided,Male,Condominium,60.62957154858583,123137.0,1984.0,21.938150112176217
11888,Mediterranean,Unknown,Unknown or not provided,Female,Single Family Residence,60.62957154858583,55000.0,1958.0,28.0
11889,Unknown,Unknown,Revocable Trust,Unknown,Single Family Residence,60.62957154858583,275994.0,2006.0,9.0
11890,Hispanic,Married,Husband and wife,Female,Single Family Residence,50.0,84196.0,1963.0,25.0
11891,Hispanic,Single,Single / Unmarried,Female,Single Family Residence,56.0,262326.0,1969.0,28.0
11892,Hispanic,Married,Husband and wife,Female,Single Family Residence,48.0,80590.0,1973.0,25.0
11893,Western European,Single,Unknown or not provided,Male,Single Family Residence,42.0,252391.0,2001.0,14.0
11894,African American,Married,Unknown or not provided,Female,Single Family Residence,71.0,59958.0,1958.0,28.0
11895,Unknown,Unknown,Unmarried Man,Unknown,Single Family Residence,60.62957154858583,119998.0,1973.0,21.938150112176217
11896,Unknown,Unknown,Unmarried,Unknown,Single Family Residence,60.62957154858583,298927.0,2008.0,7.0
11897,East Asian,Unknown,Unknown or not provided,Female,Condominium,60.62957154858583,85331.0,1980.0,21.938150112176217
11898,Western European,Separated,Unknown or not provided,Male,Single Family Residence,59.0,326581.0,2005.0,11.0
11899,Western European,Unknown,Married,Male,Single Family Residence,32.0,341849.0,1959.0,28.0
11900,Other,Married,Husband and wife,Female,Single Family Residence,73.0,471136.0,1998.0,17.0
11901,East Asian,Single,Unknown or not provided,Male,Single Family Residence,50.0,173603.0,1998.0,17.0
