,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
26057,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),58.477170903599294,772000.0,1956.0,22.0
26058,Unknown,Unknown,Limited Partnership,Unknown,Apartment house (5+ units),58.477170903599294,2036000.0,1953.0,0.0
26059,Unknown,Unknown,Limited Partnership,Unknown,Apartment house (5+ units),58.477170903599294,649000.0,1977.0,20.0
26060,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,Apartment house (5+ units),58.477170903599294,822117.1326101655,1921.0,20.0
26061,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,Apartment house (5+ units),58.477170903599294,822117.1326101655,1921.0,20.0
26062,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,Apartment house (5+ units),58.477170903599294,824000.0,1961.0,2.0
26063,Western European,Single,Trust,Female,"Duplex (2 units, any combination)",39.0,1232000.0,1923.0,20.0
26064,Western European,Unknown,Company/Corporation/Incorporated,Female,Apartment house (5+ units),44.0,2148000.0,1987.0,13.0
26065,Western European,Unknown,Company/Corporation/Incorporated,Female,Apartment house (5+ units),44.0,2148000.0,1987.0,13.0
26066,African American,Unknown,Limited Partnership,Male,Single Family Residence,58.477170903599294,440000.0,1938.0,20.0
26067,Western European,Single,Single Man,Male,Single Family Residence,54.0,687000.0,1940.0,4.0
26068,Western European,Single,Single Man,Male,Single Family Residence,54.0,687000.0,1940.0,4.0
26069,Other,Married,Joint Tenant/Joint Tenant with right of Survivorship,Male,Single Family Residence,88.0,600000.0,1908.0,20.0
26070,Unknown,Unknown,Trust,Unknown,Apartment house (5+ units),58.477170903599294,736000.0,1959.0,20.0
26071,Unknown,Unknown,Trustee,Unknown,Apartment house (5+ units),58.477170903599294,1010000.0,1927.0,10.0
26072,Western European,Married,Community Property,Female,Single Family Residence,53.0,1624000.0,1989.0,20.0
26073,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,Apartment house (5+ units),58.477170903599294,580000.0,1987.0,21.0
26074,Unknown,Unknown,Personal Trust,Unknown,Apartment house (5+ units),58.477170903599294,763000.0,1970.0,20.0
26075,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),58.477170903599294,822117.1326101655,1962.0,27.0
26076,Hispanic,Single,Joint Tenant/Joint Tenant with right of Survivorship,Female,Single Family Residence,62.0,496000.0,1923.0,20.0
26077,Hispanic,Single,Joint Tenant/Joint Tenant with right of Survivorship,Female,Single Family Residence,62.0,496000.0,1923.0,20.0
26078,Unknown,Unknown,Personal Trust,Unknown,Apartment house (5+ units),58.477170903599294,763000.0,1970.0,20.0
26079,Unknown,Unknown,Trust,Unknown,Apartment house (5+ units),58.477170903599294,2263000.0,1928.0,20.0
26080,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),58.477170903599294,990000.0,1965.0,1.0
26081,Unknown,Unknown,Joint Tenant/Joint Tenant with right of Survivorship,Unknown,Apartment house (5+ units),58.477170903599294,788000.0,1989.0,20.0
26082,Unknown,Unknown,Unknown or not provided,Unknown,"Duplex (2 units, any combination)",58.477170903599294,1503000.0,1923.0,21.0
26083,Jewish,Unknown,Unknown or not provided,Male,Single Family Residence,30.0,1663000.0,1935.0,20.0
26084,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,Apartment house (5+ units),58.477170903599294,1357000.0,1969.0,13.0
26085,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,Apartment house (5+ units),58.477170903599294,896000.0,1964.0,20.0
26086,Unknown,Unknown,Limited Partnership,Unknown,Apartment house (5+ units),58.477170903599294,678000.0,1962.0,6.0
26087,Jewish,Married,Unmarried Man,Female,Single Family Residence,43.0,1786000.0,1919.0,21.0
26088,Jewish,Married,Unmarried Man,Female,Single Family Residence,43.0,1786000.0,1919.0,21.0
26089,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,Apartment house (5+ units),58.477170903599294,1347000.0,1963.0,17.0
26090,Mediterranean,Unknown,Single Man,Male,Single Family Residence,58.477170903599294,1352000.0,1925.0,5.0
26091,Hispanic,Single,Unknown or not provided,Female,Single Family Residence,41.0,728000.0,1931.0,2.0
26092,Unknown,Unknown,Trust,Unknown,Apartment house (5+ units),58.477170903599294,1146000.0,1960.0,18.0
26093,Other,Married,Trust,Female,Single Family Residence,87.0,1468000.0,1926.0,20.0
26094,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,Apartment house (5+ units),58.477170903599294,580000.0,1987.0,21.0
26095,Unknown,Unknown,Trust,Unknown,Single Family Residence,58.477170903599294,982000.0,1950.0,18.0
26096,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),58.477170903599294,551000.0,1989.0,1.0
26097,Unknown,Unknown,Trust,Unknown,Apartment house (5+ units),58.477170903599294,1352000.0,1969.0,4.0
26098,Unknown,Unknown,Limited Partnership,Unknown,Apartment house (5+ units),58.477170903599294,678000.0,1962.0,6.0
26099,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,Apartment house (5+ units),58.477170903599294,824000.0,1961.0,2.0
26100,Unknown,Unknown,Limited Partnership,Unknown,Apartment house (5+ units),58.477170903599294,1222000.0,1972.0,20.0
26101,Unknown,Unknown,Trustee,Unknown,Apartment house (5+ units),58.477170903599294,452000.0,1930.0,23.0
26102,Unknown,Unknown,Trust,Unknown,Apartment house (5+ units),58.477170903599294,963000.0,1957.0,20.0
26103,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,58.477170903599294,431000.0,1922.0,4.0
26104,Unknown,Unknown,Trust,Unknown,Apartment house (5+ units),58.477170903599294,741000.0,1944.2155370730843,20.0
26105,Hispanic,Single,Unknown,Female,Miscellaneous (Residential),58.477170903599294,425000.0,1923.0,17.062327947336925
26106,Hispanic,Single,Single Man,Female,Single Family Residence,49.0,631000.0,1907.0,18.0
26107,Hispanic,Unknown,Unknown or not provided,Male,Single Family Residence,58.477170903599294,430000.0,1929.0,23.0
26108,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),58.477170903599294,464000.0,1944.2155370730843,20.0
26109,Hispanic,Married,Joint Tenant/Joint Tenant with right of Survivorship,Female,Single Family Residence,48.0,447000.0,1929.0,22.0
26110,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),58.477170903599294,495000.0,1930.0,23.0
26111,Hispanic,Single,Unknown or not provided,Male,"Triplex (3 units, any combination)",26.0,542000.0,1924.0,22.0
26112,Hispanic,Married,Unknown or not provided,Male,Single Family Residence,60.0,531000.0,1903.0,16.0
26113,Unknown,Unknown,Trustee,Unknown,Apartment house (5+ units),58.477170903599294,918000.0,1964.0,20.0
26114,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,Apartment house (5+ units),58.477170903599294,1007000.0,1989.0,20.0
26115,Hispanic,Married,Joint Tenant/Joint Tenant with right of Survivorship,Female,"Duplex (2 units, any combination)",59.0,732000.0,1921.0,20.0
26116,Unknown,Unknown,Trust,Unknown,Apartment house (5+ units),58.477170903599294,301000.0,1959.0,17.0
26117,Unknown,Unknown,Single Man,Unknown,Apartment house (5+ units),58.477170903599294,492000.0,1930.0,15.0
26118,Hispanic,Single,Single Woman,Female,"Duplex (2 units, any combination)",55.0,482000.0,1909.0,21.0
26119,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),58.477170903599294,738000.0,1963.0,20.0
26120,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),58.477170903599294,961000.0,1944.2155370730843,20.0
26121,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,Apartment house (5+ units),58.477170903599294,891000.0,1928.0,23.0
26122,Unknown,Unknown,Joint Tenant/Joint Tenant with right of Survivorship,Unknown,Single Family Residence,58.477170903599294,382000.0,1890.0,20.0
26123,Hispanic,Single,Separate Estate/Property,Female,Single Family Residence,58.0,570000.0,1924.0,20.0
26124,Unknown,Unknown,Trustee,Unknown,"Duplex (2 units, any combination)",58.477170903599294,490000.0,1928.0,22.0
26125,Hispanic,Married,Trust,Female,Single Family Residence,53.0,576000.0,1909.0,15.0
26126,Hispanic,Separated,Joint Tenant/Joint Tenant with right of Survivorship,Male,"Duplex (2 units, any combination)",59.0,571000.0,1927.0,23.0
26127,Eastern European,Single,Unknown or not provided,Male,"Quadplex (4 Units, Any Combination)",74.0,821000.0,1992.0,20.0
26128,Hispanic,Married,Joint Tenant/Joint Tenant with right of Survivorship,Female,Single Family Residence,49.0,337000.0,1927.0,22.0
26129,Hispanic,Unknown,Community Property,Female,Apartment house (5+ units),58.477170903599294,576000.0,1964.0,8.0
26130,Hispanic,Single,Unknown or not provided,Male,Single Family Residence,72.0,399000.0,1930.0,22.0
26131,Unknown,Unknown,Trustee,Unknown,Apartment house (5+ units),58.477170903599294,862000.0,1965.0,10.0
26132,Unknown,Unknown,Trust,Unknown,Apartment house (5+ units),58.477170903599294,946000.0,1965.0,20.0
26133,Hispanic,Married,Trust,Female,Single Family Residence,63.0,372000.0,1909.0,20.0
26134,Unknown,Unknown,Trust,Unknown,Apartment house (5+ units),58.477170903599294,458000.0,1966.0,23.0
26135,Unknown,Unknown,Trust,Unknown,"Quadplex (4 Units, Any Combination)",58.477170903599294,1053000.0,1944.2155370730843,20.0
26136,Hispanic,Married,Husband and wife,Male,Single Family Residence,62.0,357000.0,1928.0,20.0
26137,Western European,Married,Company/Corporation/Incorporated,Male,Single Family Residence,92.0,1730000.0,1931.0,21.0
26138,Hispanic,Married,Unknown or not provided,Male,"Duplex (2 units, any combination)",58.0,595000.0,1924.0,18.0
26139,Unknown,Unknown,Trust,Unknown,Apartment house (5+ units),58.477170903599294,301000.0,1959.0,17.0
26140,Hispanic,Separated,Single Woman,Female,"Duplex (2 units, any combination)",47.0,381000.0,1925.0,23.0
26141,Hispanic,Single,Single Man,Male,Single Family Residence,53.0,410000.0,1928.0,22.0
26142,Unknown,Unknown,Trustee,Unknown,Apartment house (5+ units),58.477170903599294,697000.0,1954.0,20.0
26143,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),58.477170903599294,556000.0,1926.0,8.0
26144,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),58.477170903599294,724000.0,1927.0,20.0
26145,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,Apartment house (5+ units),58.477170903599294,1064000.0,1964.0,20.0
26146,Unknown,Unknown,Limited Partnership,Unknown,Apartment house (5+ units),58.477170903599294,916000.0,1962.0,3.0
26147,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,Apartment house (5+ units),58.477170903599294,740000.0,1927.0,20.0
26148,Hispanic,Separated,Married Man,Female,Single Family Residence,51.0,354000.0,1906.0,14.0
26149,Hispanic,Married,Single Man,Male,"Triplex (3 units, any combination)",40.0,487000.0,1958.0,22.0
26150,Hispanic,Unknown,Trust,Male,Single Family Residence,58.477170903599294,340000.0,1921.0,23.0
26151,Hispanic,Single,Single Woman,Female,"Duplex (2 units, any combination)",63.0,468000.0,1912.0,21.0
26152,Hispanic,Unknown,Joint Tenant/Joint Tenant with right of Survivorship,Female,Single Family Residence,58.477170903599294,441000.0,1940.0,22.0
26153,Hispanic,Single,Husband and wife,Female,Single Family Residence,90.0,468000.0,1921.0,20.0
26154,Unknown,Unknown,Trust,Unknown,Apartment house (5+ units),58.477170903599294,760000.0,1928.0,21.0
26155,Unknown,Unknown,Joint Tenant/Joint Tenant with right of Survivorship,Unknown,"Quadplex (4 Units, Any Combination)",58.477170903599294,981000.0,1922.0,20.0
26156,Hispanic,Unknown,Separate Estate/Property,Unknown,"Duplex (2 units, any combination)",58.477170903599294,562000.0,1927.0,22.0
26157,Hispanic,Married,Single Man,Female,Single Family Residence,72.0,583000.0,1905.0,20.0
26158,Unknown,Unknown,Unknown,Unknown,Unknown,58.477170903599294,822117.1326101655,1944.2155370730843,17.062327947336925
26159,Hispanic,Unknown,Unknown or not provided,Male,"Quadplex (4 Units, Any Combination)",42.0,701000.0,1922.0,2.0
26160,Hispanic,Married,Revocable Trust,Male,Single Family Residence,94.0,381000.0,1909.0,20.0
26161,Unknown,Unknown,Community Property,Unknown,Apartment house (5+ units),58.477170903599294,758000.0,1960.0,20.0
26162,Hispanic,Single,Unknown or not provided,Male,Single Family Residence,61.0,425000.0,1905.0,22.0
26163,Unknown,Unknown,Trustee,Unknown,Apartment house (5+ units),58.477170903599294,1205000.0,1944.2155370730843,20.0
26164,Hispanic,Unknown,Unknown or not provided,Female,Single Family Residence,58.477170903599294,489000.0,1950.0,22.0
26165,Hispanic,Unknown,Unknown or not provided,Female,"Duplex (2 units, any combination)",58.477170903599294,524000.0,1962.0,22.0
26166,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),58.477170903599294,1009000.0,1927.0,20.0
26167,Hispanic,Separated,Personal Trust,Female,"Duplex (2 units, any combination)",32.0,513000.0,1930.0,22.0
26168,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),58.477170903599294,1009000.0,1927.0,20.0
26169,Hispanic,Married,Unknown or not provided,Female,"Triplex (3 units, any combination)",47.0,556000.0,1926.0,20.0
26170,Hispanic,Separated,Unknown or not provided,Female,"Duplex (2 units, any combination)",37.0,504000.0,1961.0,17.0
26171,Hispanic,Unknown,Single Man,Unknown,"Triplex (3 units, any combination)",58.477170903599294,429000.0,1921.0,14.0
26172,Hispanic,Married,Separate Estate/Property,Unknown,Single Family Residence,47.0,372000.0,1923.0,20.0
26173,Unknown,Unknown,Limited Partnership,Unknown,Apartment house (5+ units),58.477170903599294,1377000.0,1950.0,21.0
26174,Hispanic,Unknown,Unknown or not provided,Male,Single Family Residence,58.477170903599294,390000.0,1930.0,22.0
26175,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,41.0,462000.0,1933.0,22.0
26176,Hispanic,Unknown,Joint Tenant/Joint Tenant with right of Survivorship,Unknown,"Duplex (2 units, any combination)",58.477170903599294,465000.0,1953.0,23.0
26177,Hispanic,Unknown,Single Man,Unknown,"Triplex (3 units, any combination)",58.477170903599294,429000.0,1921.0,14.0
26178,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,Apartment house (5+ units),58.477170903599294,800000.0,1958.0,20.0
26179,Unknown,Unknown,Single Woman,Unknown,"Triplex (3 units, any combination)",58.477170903599294,553000.0,1959.0,20.0
26180,Unknown,Unknown,Limited Partnership,Unknown,Apartment house (5+ units),58.477170903599294,1139000.0,1944.2155370730843,21.0
26181,Hispanic,Unknown,Unknown,Male,Single Family Residence,58.477170903599294,822117.1326101655,1944.2155370730843,17.062327947336925
26182,Unknown,Unknown,Trustee,Unknown,Apartment house (5+ units),58.477170903599294,520000.0,1929.0,22.0
26183,Unknown,Unknown,Trustee,Unknown,Apartment house (5+ units),58.477170903599294,520000.0,1929.0,22.0
