id,latitude,longitude
3a1a8a0e-c949-4866-ad48-658b488402bd,1324,3947
f7337dbc-c935-4dd6-a23a-0d94a463d592,1324,3947
c48e6ba1-77ec-41e3-aaf4-4c59713aba80,1324,3947
399d2167-58f8-4d13-ab0e-7578f85f3889,0,0
cb18651d-22bc-47d2-894e-fcb281dcfab3,0,0
fb40c2b3-39b5-46ea-93e6-18f260c177ea,0,0
360bf643-c8a5-4ecf-87c7-5ec7cb24adc7,0,0
3e11d166-30a6-4fb4-a4ec-559ff10c2a49,0,0
7728d841-b079-4079-9320-67c283bd0888,0,0
3f0b1819-84ba-429d-aeed-0bdf4cadb585,0,0
1ac5058a-b968-4d42-9c46-96144c4c52f0,0,0
c6c8f906-95ff-402f-8478-30e53172c4a0,0,0
1143103c-ae33-4f43-b2be-4145fcddd92d,0,0
ca2839e7-7154-4f03-becb-5bb8216ac63f,0,0
4b14da36-477e-4146-84fe-045d494397ed,0,0
2ccc4b60-535a-4d73-bdb2-c2cef238f576,0,0
b657a1f1-808f-4713-aa3a-d70997515d8e,0,0
00f74a77-b6d7-4701-9f9e-7c61835688dc,0,0
29ebbdf0-de4e-44b0-a92b-9eea97c8b1ac,0,0
e79cf70a-4608-45ed-ac6c-2868c805934b,0,0
c1ac2fa9-226f-4de5-a98f-e188590635bd,0,0
8c841294-2888-42cd-83e4-4244e6624cee,0,0
f2a8d40e-cc76-4565-a528-3cea911e0f04,0,0
d2f78cef-c421-4dbd-b4c1-edafb4d97416,0,0
8a489e4b-b8ab-41f0-9072-94274a94601d,0,0
b1c939c5-eaf8-4b59-ac02-f9ecf0ff19aa,0,0
b7a1efac-9744-4afc-964a-79dc94d02b11,0,0
944a4c12-17dd-471e-b7bf-4968c720695f,0,0
afe107db-c6d8-4083-b329-1b361bed347b,0,0
34ac895a-4172-41ba-aa50-3ae6025eb468,0,0
2dbe9170-67c9-48bd-8a73-78e417fe3163,0,0
d92d1be9-eb64-4044-8d27-00f6a9cc5bfd,0,0
aef8ffe1-1853-45da-9e4e-8cfff04cd526,0,0
487e1bf3-67be-4470-afe7-7c3bbc4a1284,0,0
0af04ce5-2b35-4e43-a2f1-0d6ed09b5252,0,0
8f836a8b-1634-429f-8595-6ab7eb114842,0,0
28452b91-5fa9-40aa-a881-ba987417f22e,0,0
65a26927-5891-44d8-9211-d580c65ebce4,0,0
b3034201-79b2-4d92-bd37-0c1f6924102c,0,0
97a18f55-f3fe-4332-856e-ba28dddd4e89,0,0
b2ff4fb0-88b8-43e8-b2eb-48e724964acf,0,0
5f4ecb35-f1cd-4efb-89a0-b0e5cfb1780c,0,0
07ac4b71-f4a8-41e2-87c5-80d6103c4fa4,0,0
1a80cb94-1f37-45cb-a2d5-bbf010efc0bc,0,0
3a3432ec-fc7a-43a6-a788-15587d1edccf,0,0
d800897d-a668-43c4-be3f-625fd4743b53,0,0
1253f54d-0770-4966-b5ce-a2d96a5823ee,0,0
7f3a5439-3c2f-414d-bcb8-c6eefb935913,0,0
706fa0e8-007e-41e8-acba-091a969f74bd,0,0
64a55be1-897f-48c0-bf6f-837cdac44715,0,0
9e3f333a-d414-4b69-997e-21a0bda0e2c4,0,0
4e232763-6531-4c88-80e6-cef96a2f1d86,0,0
06a587d9-817c-4cbd-af45-a6ddacc8711f,0,0
e41ffbc1-bb97-41cf-b5c2-908053deab56,0,0
71b8033e-8318-4ae9-837e-a3c99e003c74,0,0
96695ea9-0959-477a-923c-2c8819239866,0,0
58bc4d00-f777-4774-9e15-152bda227654,0,0
dba3abc9-103f-4e82-8137-e26d5062655a,0,0
f6c76429-e9b7-4419-a524-0fa5cd8bed95,0,0
a847334d-a6b7-4a5e-9fb4-7d58cb31b595,0,0
0a048bfb-9639-4993-8771-9ed7b259071a,0,0
0d6b375b-e3b8-4ecf-ade0-c165311afcf7,0,0
375de539-4362-427e-a0ca-299dce05913a,0,0
68476d27-4e7a-4e6e-920d-ec0b56afa149,0,0
